Year,State,Light Vehicles, Truck, Bus, Motorcycle
2015,California,14463569,94020,14037540,828883
2015,Colorado,1822170,12666,2979130,191206
2015,Connecticut,1385867,12725,1356641,86531
2015,Delaware,438031,4365,493741,28179
2015,District of Columbia,200566,4569,113380,4414
2015,Florida,7735060,60125,7737069,572754
2015,Georgia,3523619,42542,4371050,200410
2015,Hawaii,522807,2899,682809,33804
2015,Idaho,626440,3278,1158666,65635
2015,Illinois,4775414,34773,5438857,346210
2015,Indiana,2335800,21805,3464139,223370
2015,Iowa,1326200,9186,2111663,189849
2015,Kansas,992017,3918,1542596,96325
2015,Kentucky,1713959,10480,2316525,111018
2015,Louisiana,1438568,28961,2319827,114076
2015,Maine,419560,4455,625322,54664
2015,Maryland,1993936,13238,2001673,126311
2015,Massachusetts,2374223,11784,2515765,167829
2015,Michigan,3376682,8649,4651312,257465
2015,Minnesota,2079843,19244,2933622,248560
2015,Mississippi,847173,8049,1185302,28329
2015,Missouri,2273098,16885,3116291,217731
2015,Montana,435930,4584,1007283,197430
2015,Nebraska,732856,3945,1188560,55935
2015,Nevada,1017534,3128,1220868,74526
2015,New Hampshire,535188,2822,684136,73991
2015,New Jersey,2918603,24360,2843150,152472
2015,New Mexico,667947,6239,1086011,63248
2015,New York,4868521,30620,5384766,354858
2015,North Carolina,3439151,31770,4269130,188922
2015,North Dakota,247404,2819,601572,39008
2015,Ohio,4738800,36946,5376621,404956
2015,Oklahoma,1156606,3205,1699608,129093
2015,Oregon,1432905,16004,2030265,128308
2015,Pennsylvania,4680498,55117,5469689,393390
2015,Rhode Island,447356,2177,393813,31751
2015,South Carolina,1784004,17690,2244716,116241
2015,South Dakota,328797,2840,654733,95919
2015,Tennessee,2318324,26208,3101331,166260
2015,Texas,8451039,66980,12959673,387149
2015,Utah,919013,5985,1225362,78833
2015,Vermont,252859,1170,370267,31051
2015,Virginia,3270479,32999,3742587,192840
2015,Washington,2841248,21823,3626011,236385
2015,West Virginia,566215,3281,985083,58766
2015,Wisconsin,2189332,14095,2938122,325032
2015,Wyoming,206884,1454,575641,31010
2016,Alabama,2284443,6238,3067917,109703
2016,Alaska,183259,8119,571287,31949
2016,Arizona,2377962,9016,3233330,166583
2016,Arkansas,942604,11931,1762765,90838
2016,California,14768392,98622,14511913,842106
2016,Colorado,1807777,12771,3105201,190592
2016,Connecticut,1352381,12587,1390343,86531
2016,Delaware,447007,4288,524387,28158
2016,District of Columbia,206833,4682,121149,4436
2016,Florida,7855250,59808,8102611,582648
2016,Georgia,3538180,37487,4461721,202391
2016,Hawaii,516544,3069,680969,31146
2016,Idaho,607902,3877,1164527,65939
2016,Illinois,4524709,34936,5402730,314807
2016,Indiana,2330172,20727,3566028,223603
2016,Iowa,1303131,9174,2171551,192434
2016,Kansas,980359,5575,1567555,96247
2016,Kentucky,1713590,10559,2393991,106648
2016,Louisiana,1425349,29188,2336826,113599
2016,Maine,409229,4349,641722,52374
2016,Maryland,1976021,22801,2056115,123936
2016,Massachusetts,2305471,11779,2584480,167829
2016,Michigan,3248359,8656,4819229,256651
2016,Minnesota,2081723,19179,3028038,229377
2016,Mississippi,840737,8088,1190158,28239
2016,Missouri,2247914,27569,3255462,153580
2016,Montana,441201,4634,1058602,290295
